[ 2025-08-03 18:24:59,025 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-03 18:25:07,926 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-03 18:25:07,927 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-03 18:25:07,927 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-03 18:25:07,972 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-03 18:25:07,978 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-03 18:25:08,040 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:25:08,040 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:25:08,040 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:25:08,043 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:25:08,170 ] 25 root - INFO - data Validation Completed
