[ 2025-08-03 18:24:23,381 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-03 18:24:27,620 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-03 18:24:27,620 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-03 18:24:27,621 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-03 18:24:27,664 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-03 18:24:27,671 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-03 18:24:27,739 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:24:27,739 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:24:27,739 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:24:27,740 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:24:27,846 ] 25 root - INFO - data Validation Completed
