[ 2025-08-03 18:11:17,426 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-03 18:11:21,492 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-03 18:11:21,492 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-03 18:11:21,493 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-03 18:11:21,537 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-03 18:11:21,544 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-03 18:11:21,603 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:11:21,603 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:11:21,603 ] 33 root - INFO - Required number of columns:2
[ 2025-08-03 18:11:21,604 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-03 18:11:21,743 ] 25 root - INFO - data Validation Completed
